symbol,price,prev_close,gap_pct,pm_vol,pm_score,date
NIO,5.66,5.260000228881836,7.7,57698051,100,2026-05-27
PLUG,4.16,3.8399999141693115,8.3,61569501,100,2026-05-27
RIVN,14.78,14.390000343322754,2.7,12348407,100,2026-05-27
OPEN,4.85,4.480000019073486,8.3,34375030,100,2026-05-27
CIFR,23.49,23.020000457763672,2.0,9738265,100,2026-05-27
BBAI,4.43,4.179999828338623,6.0,35010062,100,2026-05-27
WULF,25.71,25.18000030517578,2.1,14775935,100,2026-05-27
LUMN,10.76,10.170000076293945,5.8,8476028,96,2026-05-27
PTON,5.93,5.769999980926514,2.7,7212938,77,2026-05-27
TLRY,5.57,5.449999809265137,2.3,1593717,20,2026-05-27
CHPT,7.91,7.329999923706055,7.9,502515,20,2026-05-27
